Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,1036.670044,1044.170044,1033.000000,1036.000000,946.036377,1188325
2015-10-13,1040.000000,1044.469971,1021.669983,1030.530029,941.041382,1813896
2015-10-14,1025.930054,1035.930054,1023.369995,1026.900024,937.726685,1693611
2015-10-15,1033.430054,1042.329956,1030.069946,1040.329956,949.990356,1884301
2015-10-16,1043.670044,1072.599976,1035.030029,1069.969971,977.056458,2580712
2015-10-19,1071.930054,1073.329956,1050.199951,1053.869995,962.354492,1893249
2015-10-20,1057.130005,1064.530029,1045.400024,1049.030029,957.934875,2194296
2015-10-21,1050.630005,1051.699951,1030.699951,1033.630005,943.872192,2086108
2015-10-23,1041.369995,1046.569946,1004.169983,1006.869995,919.435913,4297068
2015-10-26,1013.369995,1020.000000,1002.669983,1005.630005,918.303589,2636010
2015-10-27,1003.400024,1015.330017,993.400024,996.500000,909.966492,3801229
2015-10-28,993.267029,999.333008,988.666992,995.166992,908.749207,2522211
2015-10-29,996.666992,997.299988,977.732971,980.500000,895.355835,2901601
2015-10-30,982.000000,998.466980,933.333008,940.500000,858.829346,11414433
2015-11-02,933.333008,936.000000,916.166992,925.767029,845.375793,7422958
2015-11-03,931.267029,931.267029,911.732971,915.533020,836.030518,5215915
2015-11-04,925.333008,925.333008,910.000000,912.067017,832.865479,3886504
2015-11-05,913.333008,919.700012,909.333008,912.632996,833.382263,3723427
2015-11-06,915.333008,924.333008,914.732971,918.166992,838.435669,2817822
2015-11-09,900.000000,909.333008,887.400024,906.033020,827.355469,3894880
2015-11-10,903.367004,911.666992,895.333008,898.932983,820.871948,3552916
2015-11-13,906.000000,906.000000,886.666992,887.466980,810.401550,2728915
2015-11-16,886.333008,908.533020,884.000000,904.767029,826.199402,3453009
2015-11-17,912.333008,915.000000,896.666992,901.166992,822.911926,2795227
2015-11-18,902.666992,912.666992,894.000000,896.299988,818.467590,2537497
2015-11-19,905.333008,910.000000,900.067017,905.966980,827.295166,1806705
2015-11-20,908.267029,915.599976,896.333008,911.232971,832.103821,2543665
2015-11-23,913.333008,922.599976,910.033020,912.599976,833.352112,2178064
2015-11-24,908.666992,912.599976,891.666992,894.367004,816.702393,2611854
2015-11-26,899.833008,902.867004,886.767029,888.432983,811.283691,4076958
2015-11-27,890.932983,911.666992,890.666992,910.000000,830.977905,3462969
2015-11-30,909.900024,922.632996,909.333008,916.400024,836.822205,3613390
2015-12-01,916.666992,921.932983,907.033020,909.900024,830.886658,1377124
2015-12-02,912.000000,916.000000,901.232971,902.666992,824.281677,1781221
2015-12-03,900.333008,909.932983,896.166992,898.567017,820.537659,1776231
2015-12-04,893.700012,900.867004,892.000000,893.232971,815.666809,2201155
2015-12-07,896.966980,901.000000,890.732971,894.099976,816.458618,1649014
2015-12-08,891.966980,893.333008,876.000000,881.400024,804.861511,2217838
2015-12-09,880.067017,883.299988,865.599976,867.132996,791.833374,3327682
2015-12-10,873.067017,878.500000,867.333008,873.966980,798.073914,2893311
2015-12-11,874.067017,875.833008,851.033020,857.166992,782.732788,4114018
2015-12-14,856.267029,861.567017,843.000000,849.599976,775.822815,4010256
2015-12-15,850.000000,859.533020,843.400024,855.466980,781.180420,3333246
