Date,Open,High,Low,Close,Adj Close,Volume
2015-10-12,562.599976,570.000000,558.000000,562.750000,508.761749,758836
2015-10-13,562.000000,564.849976,555.250000,561.000000,507.179565,639491
2015-10-14,559.000000,564.349976,545.200012,548.049988,495.471954,950851
2015-10-15,549.400024,555.000000,539.750000,545.299988,492.985748,1833925
2015-10-16,550.000000,551.500000,543.250000,545.799988,493.437805,1934451
2015-10-19,545.799988,560.000000,534.099976,541.599976,489.640747,1446786
2015-10-20,544.900024,550.299988,541.000000,548.099976,495.517151,1060182
2015-10-21,548.000000,549.200012,535.500000,539.450012,487.697021,1566054
2015-10-23,542.500000,547.000000,539.000000,540.099976,488.284607,1229160
2015-10-26,540.099976,545.000000,539.599976,542.650024,490.590057,814364
2015-10-27,543.299988,544.250000,536.099976,538.799988,487.109375,839550
2015-10-28,536.700012,554.000000,536.500000,549.549988,496.828094,1731286
2015-10-29,550.000000,556.549988,545.150024,549.000000,496.330841,3049427
2015-10-30,549.000000,550.250000,537.099976,539.150024,487.425812,879393
2015-11-02,541.000000,557.500000,532.450012,556.049988,502.704468,1862983
2015-11-03,558.299988,563.000000,548.500000,556.750000,503.337311,1884815
2015-11-04,568.000000,568.500000,540.099976,542.900024,490.816132,3424936
2015-11-05,545.500000,546.950012,532.950012,534.950012,483.628754,1057337
2015-11-06,537.000000,537.349976,526.150024,533.450012,482.272583,1218451
2015-11-09,524.000000,534.849976,519.049988,532.400024,481.323395,2136740
2015-11-10,532.400024,532.950012,523.549988,524.950012,474.588074,860680
2015-11-13,520.000000,525.549988,518.000000,520.049988,470.158173,860928
2015-11-16,518.000000,518.549988,508.000000,515.950012,466.451508,1347660
2015-11-17,516.049988,527.750000,516.049988,523.500000,473.277191,2175347
2015-11-18,523.500000,530.400024,515.000000,516.700012,467.129608,892774
2015-11-19,521.500000,535.799988,520.000000,534.400024,483.131500,1214934
2015-11-20,534.950012,540.000000,531.000000,534.900024,483.583527,1126241
2015-11-23,536.000000,544.750000,535.099976,539.000000,487.290192,839938
2015-11-24,535.099976,543.750000,532.450012,537.549988,485.979309,985303
2015-11-26,538.000000,544.000000,527.049988,529.599976,478.791992,3051131
2015-11-27,529.900024,536.849976,528.500000,534.299988,483.041046,772320
2015-11-30,534.900024,541.200012,530.000000,533.450012,482.272583,2080681
2015-12-01,533.000000,543.099976,533.000000,542.150024,490.138031,1079295
2015-12-02,543.000000,545.599976,537.150024,540.000000,488.194305,715680
2015-12-03,539.599976,544.500000,536.000000,542.599976,490.544861,852540
2015-12-04,539.950012,544.599976,534.000000,536.349976,484.894409,938866
2015-12-07,536.000000,546.500000,535.150024,544.650024,492.398132,788606
2015-12-08,544.950012,546.000000,528.599976,530.700012,479.786499,1061492
2015-12-09,531.000000,537.500000,525.099976,527.349976,476.757843,1223560
2015-12-10,530.400024,540.500000,523.799988,538.750000,487.064209,702931
2015-12-11,540.000000,543.900024,535.099976,536.950012,485.436859,926348
2015-12-14,527.000000,545.000000,527.000000,543.650024,491.494080,773988
